,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Carovigno,40.708,17.655,66.22,63,0,23.4,IT,1590602400
81,Jacksonville,30.3322,-81.6556,87.55,62,50,5.12,US,1590602400
82,Aklavik,68.2191,-135.0107,49.51,71,74,2.82,CA,1590602400
83,Yellowknife,62.456,-114.3525,47.28,54,22,5.03,CA,1590602400
84,Inírida,3.8653,-67.9239,83.21,80,99,2.62,CO,1590602400
85,Nelson Bay,-32.7167,152.15,57.31,96,45,8.57,AU,1590602400
86,Hithadhoo,-0.6,73.0833,84.02,76,14,9.82,MV,1590602400
87,Dunedin,-45.8742,170.5036,44.46,85,13,4.47,NZ,1590602400
88,Narsaq,60.9167,-46.05,42.04,72,81,10.63,GL,1590602400
89,Pathein,16.7833,94.7333,84.99,77,5,6.15,MM,1590602400
90,Abhā,18.2164,42.5053,72.82,50,82,5.23,SA,1590602400
91,Itarema,-2.9248,-39.9167,84.07,72,7,10.09,BR,1590602400
92,Orangeburg,33.4918,-80.8557,76.35,80,95,12.41,US,1590602400
93,New Norfolk,-42.7826,147.0587,46.72,82,66,2.51,AU,1590602400
94,Mossamedes,-15.1961,12.1522,75.78,73,13,4.21,AO,1590602400
95,Oranjemund,-28.55,16.4333,57.6,63,1,13.69,NA,1590602400
96,Magnor,59.9511,12.1996,60.6,48,12,3.56,SE,1590602400
97,East London,-33.0153,27.9116,60.64,38,60,12.84,ZA,1590602400
98,Benidorm,38.5382,-0.131,72.54,59,20,17.54,ES,1590602400
99,Togur,58.3631,82.8265,45.9,67,33,5.86,RU,1590602400
100,Dikson,73.5069,80.5464,31.33,99,100,7.02,RU,1590602400
101,Lavrentiya,65.5833,-171.0,33.33,94,100,12.15,RU,1590602400
102,Birjand,32.8663,59.2211,78.1,20,4,21.45,IR,1590602400
103,Merauke,-8.4667,140.3333,77.5,88,28,13.06,ID,1590602400
104,Norman Wells,65.282,-126.8329,54.14,66,61,6.93,CA,1590602400
105,San Vicente de Cañete,-13.0751,-76.3835,70.61,68,11,6.82,PE,1590602400
106,Kapuskasing,49.4169,-82.4331,78.42,65,85,12.55,CA,1590602400
107,Chui,-33.6971,-53.4616,62.13,58,0,4.99,UY,1590602400
108,Zhangaözen,43.3,52.8,83.46,24,0,13.06,KZ,1590602400
109,Longonjo,-12.9067,15.2533,73.98,34,61,0.81,AO,1590602400
110,Cherbourg-en-Cotentin,49.6386,-1.6147,65.34,59,0,10.96,FR,1590602400
111,Lagos,6.5833,3.75,85.73,76,87,7.0,NG,1590602400
112,Port Elizabeth,-33.918,25.5701,56.14,52,9,9.24,ZA,1590602400
113,Vaini,-21.2,-175.2,76.62,85,43,7.63,TO,1590602400
114,Half Moon Bay,37.4636,-122.4286,69.33,59,3,5.55,US,1590602400
115,Henties Bay,-22.116,14.2845,60.26,71,0,7.4,NA,1590602400
116,Bethel,41.3712,-73.414,78.49,62,75,8.95,US,1590602400
117,Bluff,-46.6,168.3333,43.52,88,10,5.1,NZ,1590602400
118,Malbork,54.0359,19.0266,60.53,92,5,4.92,PL,1590602400
119,Tessalit,20.1986,1.0114,97.27,19,100,12.24,ML,1590602400
120,Vangaindrano,-23.35,47.6,71.91,86,0,8.28,MG,1590602400
121,Diego de Almagro,-26.3667,-70.05,78.46,23,0,8.37,CL,1590602400
122,Broome,42.2506,-75.833,80.91,64,43,8.97,US,1590602400
123,Basco,20.4487,121.9702,83.91,81,98,7.58,PH,1590602400
124,Santo Domingo,18.5001,-69.9886,87.28,63,60,10.0,DO,1590602400
125,Asău,46.4333,26.4,52.21,75,70,4.16,RO,1590602400
126,Cangzhou,38.3167,116.8667,70.02,28,0,6.69,CN,1590602400
127,Marawi,7.9986,124.2928,74.34,91,100,2.37,PH,1590602400
128,Pishin,30.5803,66.9961,78.76,16,0,0.6,PK,1590602400
129,Usinsk,65.9939,57.5281,57.27,45,99,7.43,RU,1590602400
130,Vershino-Darasunskiy,52.35,115.5167,53.83,72,88,3.8,RU,1590602400
131,Chicama,-7.8447,-79.1469,78.75,58,40,9.64,PE,1590602400
132,Meulaboh,4.1363,96.1285,80.56,84,99,3.85,ID,1590602400
133,Port Hardy,50.6996,-127.4199,53.73,73,26,5.55,CA,1590602400
134,Kyakhta,50.3508,106.4494,44.28,64,100,19.77,RU,1590602400
135,Muaná,-1.5283,-49.2167,89.29,55,60,3.6,BR,1590602400
136,Kaitangata,-46.2817,169.8464,42.17,92,42,3.0,NZ,1590602400
137,Ingleside,27.8778,-97.2117,84.88,66,1,15.73,US,1590602400
138,Severo-Kuril'sk,50.6789,156.125,38.8,89,100,7.31,RU,1590602400
139,Udachny,66.4167,112.4,28.33,93,95,15.99,RU,1590602400
140,Serenje,-13.2325,30.2352,69.53,56,78,3.2,ZM,1590602400
141,Barrow,71.2906,-156.7887,34.59,87,60,1.9,US,1590602400
142,Coyhaique,-45.5752,-72.0662,46.85,71,74,6.24,CL,1590602400
143,Galle,6.0367,80.217,81.37,86,100,13.11,LK,1590602400
144,Miracema,-21.4122,-42.1967,71.83,52,0,3.4,BR,1590602400
145,Nong Phai,15.9903,101.0618,82.2,69,11,1.92,TH,1590602400
146,Līsakovsk,52.5369,62.4936,65.68,61,0,8.95,KZ,1590602400
147,Yuty,-26.6,-56.25,71.98,51,0,3.02,PY,1590602400
148,Dudinka,69.4058,86.1778,39.33,78,83,10.45,RU,1590602400
149,Ngunguru,-35.6167,174.5,60.17,38,96,12.95,NZ,1590602400
150,Yatou,37.15,122.3833,57.04,93,0,7.0,CN,1590602400
151,Sobolevo,54.4299,31.8996,57.6,73,100,3.33,RU,1590602400
152,Chokurdakh,70.6333,147.9167,48.47,50,92,14.16,RU,1590602400
153,Tuatapere,-46.1333,167.6833,41.81,80,0,3.13,NZ,1590602400
154,Fairbanks,64.8378,-147.7164,54.54,67,95,4.0,US,1590602400
155,Labuhan,-6.8844,112.2051,80.82,81,97,4.74,ID,1590602400
156,Ponta do Sol,32.6667,-17.1,75.38,58,37,3.18,PT,1590602400
157,Havre-St-Pierre,50.2334,-63.5986,49.44,54,42,9.69,CA,1590602400
158,Dingle,10.9995,122.6711,80.67,75,31,2.93,PH,1590602400
159,Nhulunbuy,-12.2333,136.7667,73.35,79,0,8.46,AU,1590602400
160,Carnarvon,-24.8667,113.6333,66.13,52,0,12.77,AU,1590602400
161,Thompson,55.7435,-97.8558,56.53,76,95,12.57,CA,1590602400
162,Fort Nelson,58.8053,-122.7002,57.22,65,85,6.78,CA,1590602400
163,Shelburne,44.0787,-80.2041,80.89,58,42,11.34,CA,1590602400
164,Saldanha,-33.0117,17.9442,57.61,68,8,8.66,ZA,1590602400
165,Lüderitz,-26.6481,15.1594,62.42,49,0,17.36,NA,1590602400
166,Umeå,63.8284,20.2597,60.01,45,96,8.72,SE,1590602400
167,Vila Velha,-20.3297,-40.2925,74.12,56,0,12.8,BR,1590602400
168,Touros,-5.1989,-35.4608,85.35,67,30,7.52,BR,1590602400
169,Guánica,17.9716,-66.908,87.13,56,18,11.83,PR,1590602400
170,Lebu,-37.6167,-73.65,56.86,70,0,19.22,CL,1590602400
171,Moisei,47.6556,24.5401,52.66,67,100,4.65,RO,1590602400
172,Bandarbeyla,9.4942,50.8122,82.74,75,40,5.39,SO,1590602400
173,Fortuna,40.5982,-124.1573,66.74,81,78,8.12,US,1590602400
174,Portland,45.5234,-122.6762,67.87,60,41,3.94,US,1590602400
175,Qaanaaq,77.484,-69.3632,31.78,93,51,6.13,GL,1590602400
176,Airai,-8.9266,125.4092,60.67,100,70,1.57,TL,1590602400
177,Namatanai,-3.6667,152.4333,80.13,80,95,5.61,PG,1590602400
178,São João da Barra,-21.6403,-41.0511,75.04,51,0,9.64,BR,1590602400
179,Alofi,-19.0595,-169.9187,78.03,86,69,11.83,NU,1590602400
180,Pacific Grove,36.6177,-121.9166,68.68,65,1,6.33,US,1590602400
181,Santa Catarina de Tepehuanes,25.35,-105.7333,82.42,35,89,4.81,MX,1590602400
182,Suntar,62.1444,117.6319,46.04,90,100,9.19,RU,1590602400
183,Gopālpur,19.2667,84.9167,83.84,80,98,21.34,IN,1590602400
184,Tautira,-17.7333,-149.15,80.51,84,3,8.61,PF,1590602400
185,Burnie,-41.0667,145.9167,54.82,86,99,9.37,AU,1590602400
186,Port Moresby,-9.4431,147.1797,77.7,93,36,10.45,PG,1590602400
187,Kununurra,-15.7667,128.7333,74.71,49,95,9.78,AU,1590602400
188,Thinadhoo,0.5333,72.9333,84.34,74,27,8.05,MV,1590602400
189,Charter Township of Clinton,42.587,-82.9199,79.2,71,81,11.41,US,1590602400
190,Semnan,35.5729,53.3971,87.73,15,4,7.78,IR,1590602400
191,Itarana,-19.8739,-40.8753,75.61,49,0,2.24,BR,1590602400
192,Sakaraha,-22.9,44.5333,70.05,58,1,3.09,MG,1590602400
193,Taoudenni,22.6783,-3.9836,107.38,7,0,9.01,ML,1590602400
194,Upernavik,72.7868,-56.1549,30.07,95,86,2.62,GL,1590602400
195,Victor Harbor,-35.5667,138.6167,53.87,90,4,8.63,AU,1590602400
196,Arrondissement de Rodez,44.5,2.5833,72.7,51,0,4.63,FR,1590602400
197,Tuy Hoa,13.0833,109.3,80.47,83,39,4.03,VN,1590602400
198,Mahébourg,-20.4081,57.7,75.16,82,33,15.17,MU,1590602400
199,Goderich,43.7501,-81.7165,72.86,76,97,11.95,CA,1590602400
200,Necochea,-38.5473,-58.7368,64.35,59,0,8.32,AR,1590602400
201,Vao,-22.6667,167.4833,73.27,79,88,13.62,NC,1590602400
202,Mount Isa,-20.7333,139.5,63.34,34,65,9.64,AU,1590602400
203,Neyshabur,36.2133,58.7958,79.41,20,1,7.05,IR,1590602400
204,Bojnourd,37.4747,57.329,72.75,49,0,6.73,IR,1590602400
205,Esim,4.8699,-2.2405,81.81,81,100,12.06,GH,1590602400
206,Oskaloosa,41.2964,-92.6444,72.5,80,93,7.94,US,1590602400
207,Zhezkazgan,47.8043,67.7144,71.67,39,0,18.12,KZ,1590602400
208,Betsiamites,48.9413,-68.646,53.49,64,75,13.47,CA,1590602400
209,Halifax,44.6453,-63.5724,69.3,74,87,9.71,CA,1590602400
210,Kulhudhuffushi,6.6221,73.07,84.49,79,100,16.37,MV,1590602400
211,Kieta,-6.2167,155.6333,80.51,73,87,3.4,PG,1590602400
212,Abu Kamal,34.4506,40.9171,94.96,11,0,13.94,SY,1590602400
213,Mnogovershinnyy,53.9353,139.9242,37.26,99,90,3.56,RU,1590602400
214,Sagua la Grande,22.8067,-80.0756,89.87,62,41,8.43,CU,1590602400
215,North Bend,43.4065,-124.2243,66.79,76,20,10.65,US,1590602400
216,Mt. Pleasant,32.7941,-79.8626,78.57,84,68,6.44,US,1590602400
217,Mahibadhoo,3.7833,72.9667,83.68,78,94,14.05,MV,1590602400
218,Twin Falls,42.563,-114.4609,75.22,43,3,12.95,US,1590602400
219,Tanggul,-8.1645,113.4525,76.24,86,98,1.48,ID,1590602400
220,Bathsheba,13.2167,-59.5167,86.29,66,51,17.85,BB,1590602400
221,Quatre Cocos,-20.2078,57.7625,75.24,82,35,14.72,MU,1590602400
222,Bilma,18.6853,12.9164,100.62,9,43,6.62,NE,1590602400
223,Kruisfontein,-34.0033,24.7314,51.69,55,11,6.91,ZA,1590602400
224,Deputatsky,69.3,139.9,35.73,100,100,4.7,RU,1590602400
225,Adrar,20.5022,-10.0711,103.77,8,0,8.84,MR,1590602400
226,Sergeevka,53.88,67.4158,60.24,61,38,7.34,KZ,1590602400
227,Hobart,-42.8794,147.3294,48.47,82,92,5.41,AU,1590602400
228,Cayenne,4.9333,-52.3333,84.52,69,59,13.6,GF,1590602400
229,Torbay,47.6666,-52.7314,41.99,88,89,11.43,CA,1590602400
230,Lata,40.1629,-8.3327,87.28,38,5,2.13,PT,1590602400
231,Mulino,56.2892,42.9201,56.64,66,32,2.13,RU,1590602400
232,Bambous Virieux,-20.3428,57.7575,75.38,82,35,15.03,MU,1590602400
233,Innisfail,-17.5333,146.0333,62.71,87,86,5.3,AU,1590602400
234,Río Gallegos,-51.6226,-69.2181,46.78,74,0,12.21,AR,1590602400
235,Kiryat Gat,31.61,34.7642,70.14,67,0,6.89,IL,1590602400
236,São Filipe,14.8961,-24.4956,78.93,60,16,7.18,CV,1590602400
237,Kenai,60.5544,-151.2583,48.02,74,52,5.14,US,1590602400
238,El Real de Santa Maria,8.109,-77.7325,83.39,85,100,2.44,PA,1590602400
239,Nacala,-14.5428,40.6728,77.22,75,1,7.02,MZ,1590602400
240,Wiwilí,13.6268,-85.8254,85.68,68,99,3.6,NI,1590602400
241,Kirakira,-10.4544,161.9205,79.59,82,3,8.66,SB,1590602400
242,Malandag,6.3094,125.2428,75.97,81,87,3.65,PH,1590602400
243,Mahon,39.8885,4.2658,71.46,71,10,11.21,ES,1590602400
244,Bengkulu,-3.8004,102.2655,77.22,87,100,9.35,ID,1590602400
245,Maryborough,-25.5333,152.7,55.24,79,11,3.09,AU,1590602400
246,Liverpool,53.4106,-2.9779,64.72,51,38,7.56,GB,1590602400
247,Euclides da Cunha,-10.5075,-39.0158,83.01,69,99,2.06,BR,1590602400
248,Khatanga,71.9667,102.5,30.96,90,100,10.11,RU,1590602400
249,Vila Franca do Campo,37.7167,-25.4333,68.97,68,58,5.86,PT,1590602400
250,Xiaoweizhai,26.1903,107.5125,59.63,85,7,2.71,CN,1590602400
251,Águilas,37.4063,-1.5829,74.46,41,59,18.28,ES,1590602400
252,Itaituba,-4.2761,-55.9836,92.93,49,14,2.98,BR,1590602400
253,Luwuk,-0.9516,122.7875,79.41,72,7,3.27,ID,1590602400
254,Katangli,51.7102,143.2326,35.31,95,100,6.31,RU,1590602400
255,Sitka,57.0531,-135.33,54.28,67,1,2.84,US,1590602400
256,Kamina,-8.7386,24.9906,76.39,49,78,3.33,CD,1590602400
257,Kalengwa,-13.4659,25.0027,72.72,36,6,3.65,ZM,1590602400
258,Santa Ana,33.7456,-117.8678,78.53,59,46,6.64,US,1590602400
259,Sterling,39.0062,-77.4286,76.87,66,95,6.2,US,1590602400
260,Verkhnevilyuysk,63.4453,120.3167,48.02,86,100,2.89,RU,1590602400
261,Ratnagiri,16.9833,73.3,82.45,84,37,8.14,IN,1590602400
262,Haileybury,47.449,-79.6373,88.14,51,38,12.88,CA,1590602400
263,Tezu,27.9167,96.1667,68.81,68,98,3.47,IN,1590602400
264,Flin Flon,54.7682,-101.865,51.71,95,95,4.25,CA,1590602400
265,San Patricio,19.2167,-104.7,84.07,67,31,7.4,MX,1590602400
266,Cabedelo,-6.9811,-34.8339,85.48,71,61,6.67,BR,1590602400
267,Ambon City,-3.6954,128.1814,82.06,89,67,10.54,ID,1590602400
268,Kumul,42.8,93.45,78.17,17,1,1.54,CN,1590602400
269,Huarmey,-10.0681,-78.1522,73.44,67,40,9.15,PE,1590602400
270,Cidreira,-30.1811,-50.2056,60.35,65,63,8.05,BR,1590602400
271,Ancud,-41.8697,-73.8203,53.64,75,11,3.58,CL,1590602400
272,Khudumelapye,-23.8833,24.75,55.9,32,0,7.25,BW,1590602400
273,Canutama,-6.5339,-64.3831,90.18,51,83,4.23,BR,1590602400
274,Hamilton,39.1834,-84.5333,78.39,64,33,6.33,US,1590602400
275,Chiang Klang,19.2938,100.8617,76.48,77,5,1.83,TH,1590602400
276,Omboué,-1.5746,9.2618,79.63,81,100,9.71,GA,1590602400
277,Iqaluit,63.7506,-68.5145,29.16,80,75,8.95,CA,1590602400
278,Castro,-24.7911,-50.0119,65.71,46,0,3.11,BR,1590602400
279,Sur,22.5667,59.5289,92.03,51,1,14.67,OM,1590602400
280,Broken Hill,-31.95,141.4333,50.99,56,14,7.61,AU,1590602400
281,Nyimba,-14.5566,30.8149,78.22,43,82,4.36,ZM,1590602400
282,Provideniya,64.3833,-173.3,34.23,94,100,11.99,RU,1590602400
283,Antalaha,-14.9003,50.2788,73.81,85,0,7.34,MG,1590602400
284,Sawtell,-30.3833,153.1,60.49,85,83,5.79,AU,1590602400
285,Erenhot,43.6475,111.9767,65.75,28,68,11.88,CN,1590602400
286,Clyde River,70.4692,-68.5914,28.6,89,93,0.38,CA,1590602400
287,Superior,46.7208,-92.1041,73.69,63,44,3.56,US,1590602400
288,Puerto Carreño,6.189,-67.4859,75.33,93,87,8.81,CO,1590602400
289,Kloulklubed,7.0419,134.2556,83.5,81,87,15.3,PW,1590602400
290,Noumea,-22.2763,166.4572,73.15,90,58,9.13,NC,1590602400
291,Hobyo,5.3505,48.5268,83.61,77,2,26.66,SO,1590602400
292,Esperance,-33.8667,121.9,57.56,72,44,17.27,AU,1590602400
293,Alice Springs,-23.7,133.8833,52.18,66,0,0.96,AU,1590602400
294,Duluth,46.7833,-92.1066,73.98,64,24,4.03,US,1590602400
295,Dzilam González,21.2833,-88.9333,98.71,53,79,4.63,MX,1590602400
296,Zhigansk,66.7697,123.3711,33.8,90,96,24.61,RU,1590602400
297,Cuxhaven,53.8718,8.6909,57.61,66,80,20.49,DE,1590602400
298,Conakry,9.538,-13.6773,83.71,78,86,9.15,GN,1590602400
299,Pundaguitan,6.3711,126.1689,83.93,71,82,3.76,PH,1590602400
300,Mīrābād,30.4362,61.8383,92.39,17,0,24.94,AF,1590602400
301,Byron Bay,-28.65,153.6167,61.02,92,35,7.74,AU,1590602400
302,Logansport,40.7545,-86.3567,79.27,65,45,7.25,US,1590602400
303,Kochkurovo,54.0358,45.4184,56.68,82,13,4.85,RU,1590602400
304,Benxi,41.2886,123.765,51.44,93,93,3.56,CN,1590602400
305,Durango,24.8333,-104.8333,80.47,34,53,6.22,MX,1590602400
306,Wilmington,34.2257,-77.9447,75.2,93,95,17.09,US,1590602400
307,Ryazan,54.6197,39.74,55.58,76,13,3.11,RU,1590602400
308,Morros,-9.4467,-46.3003,83.01,68,17,2.89,BR,1590602400
309,Bunia,1.5667,30.25,72.97,72,99,2.24,CD,1590602400
310,Inverell,-29.7833,151.1167,50.41,90,44,2.75,AU,1590602400
311,Am Timan,11.0297,20.2827,97.21,28,55,8.12,TD,1590602400
312,Blackwater,-23.5833,148.8833,55.78,60,34,2.8,AU,1590602400
313,Eenhana,-17.4667,16.3333,76.26,24,4,4.41,NA,1590602400
314,Pandan,14.0453,124.1694,81.12,84,92,8.37,PH,1590602400
315,Makkah al Mukarramah,21.4267,39.8261,95.45,20,9,5.84,SA,1590602400
316,Guerrero Negro,27.9769,-114.0611,77.54,59,19,10.0,MX,1590602400
317,Palu,-0.8917,119.8707,77.18,83,100,2.37,ID,1590602400
318,Grindavik,63.8424,-22.4338,46.0,89,95,27.13,IS,1590602400
319,Seryshevo,51.0933,128.3786,55.24,58,2,6.13,RU,1590602400
320,Ţahţā,26.7693,31.5021,89.26,14,0,14.41,EG,1590602400
321,Bonavista,48.6499,-53.1147,43.45,80,85,9.62,CA,1590602400
322,Getulio Vargas,-32.6796,-53.5494,63.84,59,0,4.41,UY,1590602400
323,Along,28.1667,94.7667,65.25,87,95,1.32,IN,1590602400
324,Esso,55.9333,158.7,31.01,95,100,4.74,RU,1590602400
325,Maun,-19.9833,23.4167,65.1,25,0,5.01,BW,1590602400
326,Mogadishu,2.0371,45.3438,81.72,83,5,13.91,SO,1590602400
327,Dhidhdhoo,6.8833,73.1,84.74,78,100,16.17,MV,1590602400
328,Caucayá,-0.1934,-74.7819,82.22,82,68,3.18,CO,1590602400
329,Basi,26.8333,76.0333,99.23,13,0,6.08,IN,1590602400
330,Te Anau,-45.4167,167.7167,40.12,80,8,0.74,NZ,1590602400
331,Harindānga,22.0383,88.3214,84.85,85,64,22.93,IN,1590602400
332,Jining,35.405,116.5814,68.59,25,93,5.99,CN,1590602400
333,Dakar,14.6937,-17.4441,80.01,65,0,13.24,SN,1590602400
334,Mackenzie,55.2999,-123.1698,59.22,45,1,2.3,CA,1590602400
335,Kikwit,-5.041,18.8162,85.5,50,38,1.41,CD,1590602400
336,Charters Towers,-20.1,146.2667,54.37,84,20,2.28,AU,1590602400
337,West Odessa,31.8424,-102.4988,84.47,32,46,2.64,US,1590602400
338,Saint Anthony,45.0205,-93.218,73.18,65,49,3.09,US,1590602400
339,Kendari,-3.945,122.4989,77.02,90,63,2.91,ID,1590602400
340,Malvern,34.3623,-92.813,79.56,67,43,2.95,US,1590602400
341,Tangi,34.3006,71.6536,90.88,20,2,6.8,PK,1590602400
342,Camacha,33.0833,-16.3333,67.28,76,55,9.13,PT,1590602400
343,Coquimbo,-29.9533,-71.3436,60.28,71,77,6.06,CL,1590602400
344,Kincardine,56.0667,-3.7167,63.37,58,51,4.97,GB,1590602400
345,Merritt Island,28.5392,-80.672,84.76,71,24,7.63,US,1590602400
346,Dingzhou,38.5131,114.9956,66.04,39,0,3.96,CN,1590602400
347,Cologne,50.9333,6.95,72.43,41,32,7.96,DE,1590602400
348,Cap Malheureux,-19.9842,57.6142,76.62,79,2,19.62,MU,1590602400
349,Samarai,-10.6167,150.6667,80.28,85,6,7.45,PG,1590602400
350,Lithakia,37.7167,20.8333,68.95,51,32,9.04,GR,1590602400
351,Hasaki,35.7333,140.8333,66.54,82,80,19.8,JP,1590602400
352,Panna,24.7167,80.2,94.24,21,37,7.4,IN,1590602400
353,Mapiripán,2.8892,-72.1256,84.29,77,81,6.49,CO,1590602400
354,Amazar,53.858,120.875,55.45,56,100,2.28,RU,1590602400
355,Komatipoort,-25.4332,31.9548,58.03,41,9,3.69,ZA,1590602400
